,lema_verbo_web,classe_verbo_web,aspecto_lexical,papel_tematico,estrutura_sintatica,exemplo_verbo_web
221,Asfixiar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A inalação de fumaça asfixiou o homem./ O assassino asfixiou o homem friamente.
222,Asilar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),Os troianos asilaram a Helena (em seu território).
223,Aspirar 1,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A faxineira aspirou o tapete da sala.
224,Assentar 2,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O pedreiro assentou a laje sobre o forno.
225,Assimilar,Culminação: verbos de mudança de estado mental,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Paciente/Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A aluna assimilou o conceito de fonema.
226,Assoalhar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O pedreiro assoalhou o quarto.
227,Assobiar/Assoviar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O rapaz assobiava muito.
228,Assombrar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A aparição do disco voador assombrou os habitantes da vila.
229,Assustar 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A verruga no nariz da bruxa assustava as crianças.
230,Assustar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O grito do irmão assustou a menina./ O irmão assustou a menina por querer.
231,Atacar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O pugilista atacou o adversário rapidamente.
232,Atapetar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A decoradora atapetou a sala.
233,Atar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O peão atou uma corda nas patas do cavalo.
234,Atarraxar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A moça atarraxou o brinco (na orelha).
235,Atazanar 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O descaso dos filhos atazanava a pobre senhora.
236,Atazanar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os berros do toureiro atazanaram o animal./ Os toureiros atazanaram o animal com espadas.
237,Atemorizar 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A possibilidade de o bandido atacar atemorizava as pessoas.
238,Atemorizar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A entrada do bandido na sala atemorizou as pessoas./ O bandido atemorizou as pessoas com uma arma.
239,Atenuar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O uso racional de energia atenuou os efeitos do apagão./ O governo atenuou os efeitos do apagão para confortar a população.
240,Aterrar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A prefeitura aterrou os buracos da estrada.
241,Aterrissar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O piloto aterrissou o avião (na pista de emergência).
242,Aterrorizar 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A chantagem do agiota aterrorizava a Lina.
243,Aterrorizar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O grito do bandido aterrorizou os moradores da casa./ O bandido aterrorizou os moradores da casa com uma arma.
244,Atiçar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O cheiro da comida atiçou os animais./ O fazendeiro atiçou os animais propositalmente.
245,Atijolar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O fazendeiro atijolou o estábulo.
246,Ativar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A explosão ativou o motor da máquina./ O operário ativou o motor da máquina para começar a trabalhar.
247,Atolar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O menino atolou a cabeça da boneca na areia.
248,Atordoar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os berros do patrão atordoaram os trabalhadores.
249,Atormentar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A insistência do agiota atormentou o jogador.
250,Atracar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O pescador atracou o barco (no cais).
251,Atrapalhar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O clima desfavorável atrapalhou o maratonista./ O competidor atrapalhou o maratonista propositalmente.
252,Atravessar,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),O menino atravessou para o outro lado da rua.
253,Atrofiar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O confinamento atrofiou a pata da cobaia./ O cientista atrofiou a pata da cobaia propositalmente.
254,Atualizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A ativação do programa atualizou o antivírus./ O programador atualizou o antivírus para limpar o computador.
255,Aturdir,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As perguntas do investigador aturdiram o homem.
256,Automatizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O uso de robôs automatizou o processo de fabricação das peças./ O engenheiro automatizou o processo de fabricação das peças para facilitar o trabalho da equipe.
257,Autonomizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O aumento do superávit autonomizou a economia do Brasil./ O presidente autonomizou a economia do Brasil para diminuir a burocracia.
258,Autuar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A polícia autuou o motorista.
259,Avançar,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),As tropas avançaram para o sul.
260,Avariar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A forte tempestade avariou a embarcação./ O marujo avariou a embarcação propositalmente.
261,Aveludar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O uso de amaciante aveludou os lençóis./ A passadeira aveludou os lençóis para agradar à patroa.
262,Avermelhar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A aplicação de henna avermelhou os cabelos da modelo./ O cabeleireiro avermelhou os cabelos da modelo para deixá-la diferente.
263,Avivar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A volta do namorado avivou os sentimentos da moça./ O namorado avivou os sentimentos da moça para pedi-la em casamento.
264,Azedar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O leite azedou.
265,Azucrinar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As brincadeiras maldosas dos colegas azucrinaram a adolescente.
266,Azular,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A mandioca azulou.
267,Azulejar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O pedreiro azulejou o banheiro.
268,Baixar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A temperatura da cidade baixou.
269,Balbuciar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O bebê balbuciava a todo instante.
270,Balear,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O bandido baleou a vítima.
271,Bambear,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),As pernas do menino bambearam.
272,Banalizar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O descaso da polícia banalizou a violência na cidade.
273,Banhar,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O ferimento aberto banhou o vestido da atriz de sangue./ O cenógrafo banhou o vestido da atriz de sangue.
274,Baratear,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O aumento da oferta barateou o leite./ O governo barateou o leite propositalmente.
275,Baratinar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A algazarra das crianças baratinou os pais.
276,Barbear,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O Seu Felício barbeou o freguês.
277,Bater,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A mãe bateu na porta do quarto da filha.
278,Beijar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A Leonor beijou o Marcos.
279,Beijocar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A mãe beijocou a filha.
280,Beliscar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O Joãozinho beliscou a Maria.
281,Berrar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A torcida berrava demais.
282,Besuntar,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A mão suja do mecânico besuntou a roda do carro de óleo./ O mecânico besuntou a roda do carro de óleo.
283,Bicar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O passarinho bicou a árvore.
284,Bichar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),As goiabas bicharam.
285,Bipartir,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O processo de fecundação bipartiu a célula./ O cientista bipartiu a célula propositalmente.
286,Bloquear,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O acúmulo de entulho bloqueou a passagem./ O segurança bloqueou a passagem propositalmente.
287,Bocejar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O bebezinho bocejava sempre que a mãe cantava.
288,Bombardear,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Israel bombardeou a Palestina.
289,Bonificar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A empresa bonificou o funcionário.
290,Bordar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A artesã bordou uma flor de lótus (na toalha branca).
291,Borrar,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A arte do menino borrou a parede de lama./ O menino arteiro borrou a parede de lama de propósito.
292,Borrifar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O jardineiro borrifou água nas pétalas das rosas.
293,Bradar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),Os manifestantes bradavam demasiadamente.
294,Branquear,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O cabelo da mulher branqueou.
295,Brigar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O casal brigava sempre.
296,Brilhar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A pedra mágica brilhava no fundo da caixa.
297,Brincar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),Os meninos brincavam sempre.
298,Brindar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O casal brindou amorosamente.
299,Bronzear,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O sol de verão bronzeou a mulher./ A esteticista bronzeou a mulher para fazer sua pele ficar morena.
300,Brutalizar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os modos extremamente agressivos do general brutalizaram os soldados.
301,Burocratizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O uso excessivo de formulários burocratizou a pós-graduação./ O diretor burocratizou a pós-graduação propositalmente.
302,Cabecear,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O atacante cabeceou a bola.
303,Cacarejar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A galinha cacarejava sem parar.
304,Cachear,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O cabelo do bebê cacheou.
305,Cadastrar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A secretária cadastrou os alunos (no Enem).
306,Cair,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),O pedreiro caiu do andaime.
307,Calçar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O marceneiro calçou os móveis da sala.
308,Calibrar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O frentista calibrou o pneu.
309,Caminhar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O João caminhava sempre.
310,Cansar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A brincadeira do menino cansou o cãozinho.
311,Cantar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O tenor cantava muito.
312,Cantarolar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O vizinho cantarolava sem parar.
313,Capinar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O Beto capinou o terreno.
314,Captar 2,Culminação: verbos de mudança de estado mental,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Paciente/Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O aluno captou a mensagem do filme.
315,Caramelizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O frio caramelizou a calda do doce./ A cozinheira caramelizou a calda do doce intencionalmente.
316,Cariar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O dente do menino cariou.
317,Carimbar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O funcionário público carimbou a data do dia no documento.
318,Carregar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O motorista carregou o caminhão.
319,Cavalgar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A amazona cavalgava pelos campos.
320,Cegar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A doença cegou o cavalo./ O malvado domador cegou o cavalo intencionalmente.
321,Ceifar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O agricultor ceifou a plantação de arroz.
322,Centralizar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O coreógrafo centralizou a mesa cenográfica (no palco).
323,Centrifugar,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A lavadeira centrifugou a camisa.
324,Cercar 1,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O fazendeiro cercou o terreno.
325,Cercar 2,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A simpatia do menino doente o cercou de amigos./ A mãe do menino doente o cercou de amigos.
326,Chatear,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As queixas da mulher chatearam o marido.
327,Chegar,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),O palestrante chegou em São Paulo.
328,Chiar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),As dobradiças da porta chiavam.
329,Chibatar,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O dono da fazenda chibatou o escravo.
